  M    Peri. Node   Incl.  e      a 

249.1  215.8 218.5  13.7 0.209  39.5
202.0  318.7  31.1   8.2 0.233  46.7
239.7  218.0 124.0  15.2 0.148  47.9
  6.0  135.4 353.2  15.2 0.224  47.7
 28.9   44.8  58.3  10.2 0.078  44.4
  0.0   60.2 120.0  15.6 0.126  42.0
331.5  319.1 142.6  15.1 0.385  43.2
315.0  352.5  91.3  20.5 0.086  40.1
  1.1  302.6 239.1   9.6 0.150  42.5
281.5   74.5 201.6  16.6 0.147  42.8
351.4  246.2 308.4   7.7 0.199  43.0
  1.2  249.8 291.9  10.0 0.125  43.1
347.7  252.3 311.8  23.9 0.166  43.0
 15.0  227.5 297.4  20.5 0.148  43.4
 18.0  316.7 209.0  31.0 0.129  44.0
 55.7  274.1 211.1  29.6 0.060  42.4
234.3   28.3 290.3   6.3 0.066  43.6
  4.4  325.8 212.2   9.9 0.036  42.0
219.6  130.6 206.1  24.3 0.199  42.3
121.0  109.5 304.0  17.1 0.065  43.4
359.9  309.5 231.4  24.9 0.232  41.7
100.6  133.5 300.8  10.3 0.031  36.4
179.0   38.9 332.2  17.9 0.008  41.3
 87.1  170.9 270.1   4.2 0.158  46.7
 70.2  261.0 198.8  23.2 0.105  39.7
  0.7  342.7 200.8  27.9 0.183  39.2
359.9  197.2 347.9  27.6 0.379  41.8
260.6  298.9 349.1  22.9 0.050  38.8
 39.3  197.8 302.7  15.5 0.072  42.2
181.2   38.8 329.6  28.4 0.129  41.1
178.8  152.2 206.4  14.1 0.014  41.3
359.9  300.3 238.6  10.6 0.097  42.0
  1.5  326.7 206.6  20.0 0.213  39.3
359.9  234.1 306.8  17.2 0.020  41.8
359.9  283.5 259.2  18.4 0.062  41.6
284.4  280.1 338.1  23.9 0.047  39.1
360.0  251.3 284.7   8.6 0.008  44.6
359.9  210.8 325.5  14.4 0.070  41.6
359.9  208.0 327.2  20.3 0.058  42.0
181.0   88.7 264.5   7.8 0.016  41.1
284.6  295.9 337.2  25.5 0.197  39.7
359.9  293.5 243.0  15.3 0.025  41.9
 34.3  145.8 229.7  28.0 0.068  45.6
 37.0  314.5  51.2  25.7 0.140  45.0
 36.8  145.8 228.4  24.8 0.076  44.6
110.8   64.2 233.8  24.8 0.074  45.5
341.9   18.5  72.5   0.9 0.307  47.4
 27.1  187.6 156.3  23.6 0.237  49.3
179.5  154.6  22.3  38.0 0.107  32.4
311.2  333.8 110.6   1.1 0.357  49.1
 38.1  126.9 194.9  24.4 0.160  46.2
 49.6  341.3 330.3   1.0 0.084  44.2
 11.3  247.5 141.2  16.3 0.085  40.1
303.1  352.4  26.3  12.2 0.115  43.6
301.8   20.7  72.4  26.6 0.069  38.6
330.9    5.1  71.7  26.2 0.131  41.6
343.8  260.7 160.7  18.0 0.086  45.0
270.5  312.9 117.5  30.3 0.062  40.4
 39.1   69.0 111.2   6.0 0.218  48.3
340.7  160.3 121.2   8.5 0.340  48.3
 52.0  332.8 186.6  10.3 0.258  47.8
 64.5   70.3  34.2   8.9 0.308  47.8
250.8   33.3 326.6   1.7 0.249  47.9
142.1   35.8  19.9  11.5 0.174  46.7
 22.6  236.3 283.8  16.4 0.149  44.6
210.4  177.8 183.3  39.5 0.136  46.5
163.7    7.1 346.5  11.9 0.188  47.5
 48.1   60.2  36.4   3.1 0.176  45.9
349.0   82.6  98.4   3.5 0.129  46.7
 73.1   15.8  98.4  13.6 0.132  39.5
 27.8   35.2 130.2  10.0 0.222  44.0
 26.7   34.2 152.8  20.1 0.136  40.5
321.6  116.0 172.5  27.9 0.098  42.1
 55.0   60.1 103.5  17.1 0.034  42.9
294.2  174.0 116.9   5.4 0.129  46.2
343.6   97.2 152.0  24.0 0.335  39.8
 26.1  335.5 160.6   8.9 0.213  45.0
357.4   80.8  76.9   2.8 0.014  44.2
323.0  208.4 335.7  19.0 0.141  41.6
222.3  343.2 330.7  34.4 0.027  39.0
339.2  265.7 290.3  19.2 0.326  39.5
  9.0   44.8 152.7   2.8 0.223  39.7
270.5  297.0  44.0  11.4 0.183  47.2
336.7  339.9 194.2  26.1 0.236  48.2
279.7   52.3 210.1  28.2 0.139  42.5
  2.6  100.1  35.9   9.2 0.154  44.9
113.7  282.3  98.3   1.8 0.033  44.8
 12.0  132.7  61.4  11.4 0.281  44.1
 45.4   62.2 101.7   8.1 0.053  43.8
308.9  222.7  17.3  28.6 0.186  42.7
 40.8   47.6  79.1   9.9 0.119  43.8
114.5  132.1 271.2  16.0 0.049  41.6
 66.4    2.2 105.0  10.2 0.180  43.8
320.3  234.6 340.8   7.7 0.237  46.7
336.5  204.6 312.2  22.5 0.223  46.3
291.9  358.4 262.7   8.8 0.124  36.6
  0.5  239.8 314.6  15.3 0.269  46.2
265.6  225.4  53.4  17.5 0.143  42.0
319.1  116.6  65.1   3.5 0.107  47.5
  9.7   78.0  66.1  16.9 0.219  42.9
284.5    5.5 256.1  26.8 0.131  43.4
  0.0  358.5 286.5   8.0 0.196  43.3
 48.3   48.0  12.4   7.3 0.196  39.4
 40.5  108.0 303.8  19.1 0.194  39.2
335.1   77.0  84.6  18.4 0.159  44.3
343.9   37.4 104.1  28.7 0.095  41.5
310.8  193.5  45.5  23.8 0.174  46.6
  1.8  286.4 147.0  44.5 0.057  39.9
209.3   38.6 132.7  29.1 0.151  47.0
322.1  229.6 258.4   4.8 0.174  39.2
 13.3  173.5 223.9   7.4 0.187  39.2
 31.4  262.7 186.7  27.5 0.165  42.4
268.1  279.6   3.1  24.8 0.144  43.1
 87.7  150.6 147.1  19.5 0.066  47.4
 13.1  219.9 212.4  11.1 0.263  39.1
149.7   16.5 334.5  22.9 0.156  39.5
 40.8  298.8  74.0   8.2 0.175  39.2
342.9   28.4  69.7   6.7 0.180  39.1
 12.6  295.5 127.0  10.7 0.301  49.4
 65.3  176.2 167.5  17.5 0.215  39.0
 18.4  196.9 197.2  26.1 0.220  39.2
  6.3  320.4  99.0  27.2 0.311  39.2
339.7  289.4 194.6  19.5 0.250  39.3
 18.5  319.4  82.4  12.6 0.230  39.4
 77.3  337.7 104.6   2.2 0.038  45.5
192.5   60.0 251.4  15.9 0.093  40.2
282.1  314.8 298.9  11.5 0.176  44.1
 14.8  155.6 333.7  12.0 0.146  42.7
154.0  170.6 110.4  20.4 0.135  42.4
 14.4  197.4 205.7  25.4 0.171  46.4
284.8  335.6 193.3  19.6 0.073  41.3
 10.1  226.0 182.5  12.3 0.249  47.2
331.0   16.4  83.9   2.7 0.033  44.0
322.7   66.3  51.8  26.5 0.343  39.1
226.0  208.7  40.8   9.8 0.144  39.2
 50.4  335.9  66.8   8.4 0.086  44.8
  0.8   53.4 109.1   3.8 0.096  44.1
297.7  310.0 276.9   7.1 0.056  42.4
358.0  316.2  89.2  24.1 0.120  42.3
280.7   47.2 184.4  15.1 0.132  41.4
